Category,SubCategory,Latitude,Longitude,POIName
power,substation,2.906760732,101.6547329,
leisure,park,2.901273674,101.6515668,
amenity,parking,2.900907373,101.6523761,Alhijrah Big Studio (ABS) Parking
office,company,2.901163483,101.6520549,KRU Studio
amenity,parking,2.9121107,101.6547264,Park n Ride
highway,bus_stop,2.911766641,101.6549749,
office,company,2.912760157,101.6556636,CSF Computer Exchange 1
highway,bus_stop,2.912050607,101.6581583,
amenity,place_of_worship,2.911954383,101.6566794,
amenity,fire_station,2.912794206,101.6568315,Balai Bomba dan Penyelamat Cyberjaya
sport,soccer,2.912820582,101.6576339,
sport,soccer,2.912844559,101.6575044,
sport,basketball,2.912852199,101.6573373,
leisure,pitch,2.912426148,101.6580826,
amenity,fire_station,2.912485784,101.6574911,Balai Bomba dan Penyelamat Cyberjaya
office,company,2.913892677,101.6561356,HP
office,company,2.914520349,101.6564893,RBC Dexia Investor Services
office,company,2.915797799,101.6568927,FSBM Holdings
leisure,park,2.914147072,101.6583378,
amenity,university,2.914189255,101.658252,University of Malaya Faculty of Computer Science and Engineering
amenity,parking,2.913534226,101.6580184,
office,company,2.918518404,101.6554636,Bank Negara Malaysia Data Centre
office,company,2.917204213,101.66193,CX2 Computer Exchange
highway,bus_stop,2.915536384,101.6576007,
highway,bus_stop,2.9209192,101.6587354,
amenity,restaurant,2.920894403,101.6592248,Restoran JS Maju
amenity,restaurant,2.920824155,101.6592252,Nando's
amenity,restaurant,2.920186104,101.6592086,Taiba Restaurant
amenity,fast_food,2.920664153,101.6592229,KFC
amenity,restaurant,2.920593146,101.6592219,BarnHouse Cafe
amenity,restaurant,2.92043375,101.659222,
amenity,restaurant,2.920367471,101.659221,Ayam Penyet Ria
office,company,2.919204327,101.6613292,Impact
amenity,parking,2.922107343,101.6637434,MCMC Parking
office,company,2.921627828,101.663681,Malaysian Communication and Multimedia Commission (MCMC)
highway,bus_stop,2.923674438,101.6613115,
shop,mall,2.923302418,101.6618169,Shaftsbury Square Shop & Retail
office,company,2.920347239,101.6568924,Prima Avenue 6
office,company,2.920390985,101.6574842,Prima Avenue 7
office,company,2.920359998,101.6580404,Prima Avenue 8
amenity,restaurant,2.921086916,101.6570251,Padi
amenity,cafe,2.921082437,101.656891,Old Town White Coffee
amenity,restaurant,2.921372505,101.6569555,The Walk
office,company,2.921134028,101.6579928,Prima Avenue 1
amenity,parking,2.920658157,101.6561133,
amenity,restaurant,2.921295541,101.6564707,Kitchen Village
sport,basketball,2.920976586,101.6566342,
office,company,2.921199173,101.6575069,Prima Avenue 2
office,company,2.922043961,101.6558528,Fujitsu
office,company,2.922227941,101.6565148,DHL IT Services (WW)
office,company,2.922374271,101.6571913,DHL IT Services (EW)
amenity,parking,2.922358202,101.6576462,DHL Parking
highway,bus_stop,2.923612393,101.6594572,
office,company,2.92263623,101.6589781,Malaysia Digital Economy Corporation (MDEC)
amenity,parking,2.92162139,101.6591757,MDeC Parking
highway,bus_stop,2.92330985,101.659522,
leisure,pitch,2.907717759,101.6521711,
amenity,police,2.907268417,101.6527456,Kompleks Balai Polis Cyberjaya
leisure,park,2.907508329,101.6529041,
sport,basketball,2.90773975,101.6524472,
office,company,2.905812016,101.6527462,Basis Bay
amenity,parking,2.906039505,101.6524657,
office,government,2.90942058,101.6503206,HASIL
highway,bus_stop,2.917012202,101.6501639,
amenity,parking,2.907147946,101.6483003,
office,company,2.907988965,101.6482928,HP Global Centre
sport,basketball,2.911553778,101.6640669,
sport,tennis,2.911315853,101.663321,
sport,tennis,2.911344677,101.6634173,
amenity,school,2.911795719,101.6641911,Sekolah Seri Puteri Cyberjaya
sport,tennis,2.91161659,101.6633378,
sport,tennis,2.913605495,101.6645363,
sport,hockey,2.911849853,101.6638433,
sport,basketball,2.911934807,101.6641333,
sport,basketball,2.911599152,101.6642258,
sport,tennis,2.91158753,101.6632378,
sport,soccer,2.912028641,101.6647817,
sport,tennis,2.913558186,101.6644024,
sport,basketball,2.91189118,101.663989,
leisure,track,2.911972618,101.6647916,
leisure,sports_centre,2.909993368,101.6623989,La Vida Clubhouse
sport,tennis,2.910118087,101.6617797,
sport,swimming,2.909838601,101.6623405,
sport,tennis,2.910084436,101.6619089,
leisure,park,2.911845062,101.665748,
highway,bus_stop,2.909631494,101.6653089,
leisure,park,2.907931915,101.6646428,
highway,bus_stop,2.909933249,101.6653796,
leisure,park,2.912010569,101.6682118,
sport,swimming,2.911707678,101.6683337,
leisure,park,2.913486669,101.6687242,
leisure,park,2.913018537,101.6696613,
leisure,park,2.909940767,101.6686918,
leisure,park,2.915287526,101.6704582,
leisure,park,2.918725323,101.672171,
highway,bus_stop,2.917816592,101.6684362,
leisure,park,2.924153789,101.6721102,
highway,bus_stop,2.921486934,101.6666307,
highway,bus_stop,2.923768374,101.6634322,
highway,bus_stop,2.920454333,101.6668785,
sport,tennis,2.923197017,101.6678439,
leisure,park,2.924971425,101.6678198,
tourism,hotel,2.9239385,101.66726,Cyberview Lodge Resort and Spa
amenity,restaurant,2.919356244,101.6663555,Nyonya Valley Restaurant
sport,swimming,2.919076699,101.6662915,
office,company,2.920624319,101.6551157,Malaysia Industry Group For High Technology (MiGHT)
highway,bus_stop,2.920797166,101.6556483,
highway,bus_stop,2.920730545,101.6554601,
office,company,2.9199951,101.6544477,JPJ IT Centre
office,company,2.92153798,101.6546123,HP
office,company,2.921281945,101.6539055,BMW Malaysia
highway,bus_stop,2.922001701,101.6541978,
highway,bus_stop,2.922291063,101.6539904,
office,company,2.924102484,101.6588502,Enterprise Building 3
amenity,parking,2.924117855,101.6588189,
office,company,2.925028077,101.6619695,Block 2300 Century Square
highway,bus_stop,2.923999911,101.661277,
office,company,2.924460258,101.661829,T-Systems
office,company,2.924466596,101.6636066,Wisma Shell
office,company,2.925741663,101.6611832,Block 2310 Century Square
office,company,2.925616952,101.6606289,Block 2320 Century Square
amenity,parking,2.924644875,101.6636888,
office,company,2.924985972,101.6636218,Bangunan Mustapha Kamal
amenity,parking,2.926043654,101.663205,
office,company,2.926031701,101.6630586,SME Technopreneur Centre
sport,soccer,2.927622129,101.6610857,
sport,basketball,2.927162365,101.6612639,
leisure,sports_centre,2.927714522,101.6608803,Sports Arena Cyberjaya
sport,soccer,2.927933911,101.6612033,
sport,soccer,2.92780393,101.6606031,
sport,tennis,2.927954114,101.6610453,
amenity,parking,2.926826397,101.6607848,Sports Arena Cyberjaya Parking
amenity,parking,2.927391249,101.6623568,
office,company,2.928816583,101.6608808,City Command Centre
highway,bus_stop,2.922907373,101.6564563,
amenity,parking,2.923402469,101.6569384,
office,company,2.923354788,101.6559919,Enterprise Building 1
highway,bus_stop,2.925062155,101.6577343,
power,substation,2.923580323,101.6574391,
office,company,2.923058901,101.6541424,HSBC
highway,bus_stop,2.920898381,101.6583997,
highway,bus_stop,2.922499616,101.6562192,
office,company,2.923780702,101.6543654,IBM
leisure,park,2.92831494,101.6585995,
office,company,2.928498718,101.6562009,Ericsson
amenity,parking,2.929037363,101.6558207,
amenity,parking,2.925890016,101.6539998,
office,company,2.925542331,101.6536919,Emerio Building
office,company,2.927321891,101.6539166,Wisma Shell-U Village
amenity,college,2.929709692,101.6543491,University Malaysia of Computer Science & Engineering (UNIMY)
amenity,parking,2.929616542,101.6538933,
amenity,parking,2.930656761,101.6697054,
amenity,fuel,2.940291934,101.6736273,Petronas
amenity,bus_station,2.937709644,101.6732692,
amenity,parking,2.924985972,101.6636218,
amenity,parking,2.92602378,101.6630047,
amenity,parking,2.924466411,101.6636072,
amenity,parking,2.927163126,101.6624502,
amenity,parking,2.9240546,101.6503174,
sport,soccer,2.918074182,101.6502476,
highway,bus_stop,2.921185912,101.6507764,
amenity,college,2.919462125,101.6511756,Cyberjaya University College of Medical Sciences (CUCMS)
shop,mall,2.920539549,101.6508801,The Street Mall
amenity,restaurant,2.920422626,101.6522712,Bus Terminal Food Court
highway,bus_stop,2.921535421,101.6508546,
amenity,bus_station,2.92080081,101.6519858,Cyberjaya Bus Station
leisure,park,2.922757268,101.64939,Cyberjaya Mini Park
sport,tennis,2.925118283,101.6474785,
sport,swimming,2.92497064,101.6473597,
sport,soccer,2.926490202,101.647162,
amenity,school,2.926871513,101.6473623,ELC International School
sport,basketball,2.927154712,101.6471541,
sport,swimming,2.926658232,101.6476174,
sport,swimming,2.92691607,101.6474744,
sport,swimming,2.92055116,101.6480222,
highway,bus_stop,2.92233959,101.6408368,
sport,swimming,2.920475557,101.6464516,
highway,bus_stop,2.920574127,101.6466866,
amenity,place_of_worship,2.922068426,101.6422945,
power,substation,2.920850539,101.6421896,
amenity,parking,2.920317152,101.641288,
office,company,2.920397182,101.6417284,TM Cyberjaya
sport,soccer,2.917830099,101.63866,
sport,basketball,2.918126346,101.6394781,
sport,basketball,2.918568723,101.6382992,
sport,basketball,2.919454361,101.6381647,
amenity,school,2.919279497,101.6384612,SK Cyberjaya
amenity,school,2.918952779,101.6394694,SMK Cyberjaya
amenity,toilets,2.907742606,101.6102918,
emergency,designated,2.933148924,101.6737175,
shop,mall,2.922136492,101.6510562,DPulze Shopping Centre
tourism,hotel,2.900042693,101.6696033,Pullman Putrajaya Lakeside
leisure,pool,2.899805022,101.6700431,
leisure,pitch,2.927964553,101.6442026,MMU Stadium
leisure,swimming_pool,2.924562897,101.6393248,Cyberia Main Swimming Pool
amenity,parking,2.921572423,101.6410935,Visitor Car Park
leisure,pitch,2.923387607,101.638793,Cyberia Tennis Court
amenity,parking,2.915833235,101.640916,
power,line,2.926402115,101.6333051,
amenity,fuel,2.936056934,101.6732426,Petronas Precint 9
amenity,parking,2.927794983,101.6724711,
amenity,parking,2.926103613,101.6750928,
amenity,parking,2.928302093,101.6750941,
amenity,parking,2.930704751,101.6720574,
amenity,parking,2.921747811,101.6340488,
amenity,parking,2.921833803,101.6349633,
sport,tennis,2.922838081,101.6346814,
leisure,swimming_pool,2.922842872,101.6343885,
sport,basketball,2.922890702,101.6350663,
leisure,pitch,2.9369523,101.6142309,
leisure,pitch,2.93683865,101.6105753,
amenity,hospital,2.929546273,101.6740648,Hospital Putrajaya
amenity,hospital,2.926888965,101.6738202,Institut Kanser Negara
amenity,food_court,2.903764183,101.6154435,
leisure,swimming_pool,2.922778854,101.638211,Cyberia Tower A Swimming Pool
leisure,swimming_pool,2.925762561,101.6382261,Cyberia Tower C Swimming Pool
leisure,swimming_pool,2.92430873,101.6387302,Cyberia Tower B Swimming Pool
leisure,swimming_pool,2.924629606,101.6394023,
amenity,parking,2.923729364,101.638202,
amenity,parking,2.924873849,101.6382097,
leisure,pitch,2.925228064,101.6386301,
leisure,pitch,2.925233285,101.6387901,
power,generator,2.924578746,101.640079,
leisure,swimming_pool,2.939324377,101.6632451,
leisure,park,2.886523728,101.6679243,Taman Cabaran
amenity,parking,2.896627348,101.6671218,
office,government,2.898080546,101.6683519,Kementerian Pelancongan & Kebudayaan
office,ngo,2.912734448,101.6738389,Yayasan Kepimpinan Perdana
amenity,place_of_worship,2.930334544,101.6790991,Surau Putra Al-Amin
amenity,fire_station,2.932187333,101.6738624,Ibu Pejabat Jabatan Bomba & Penyelamat
amenity,police,2.930979782,101.675637,IPD Putrajaya
leisure,sports_centre,2.903620711,101.6683741,Kompleks Sukan Air Putrajaya Presint 6
leisure,fitness_centre,2.902008134,101.6666173,Putrajaya Racing Car
leisure,park,2.897175238,101.6792581,Taman Seri Empangan
leisure,park,2.899222753,101.6783742,Taman Seri Empangan
amenity,parking_space,2.926917477,101.6445747,
amenity,parking_space,2.92693234,101.6451623,
amenity,parking,2.938912952,101.6802087,
leisure,pitch,2.94255921,101.678671,
amenity,parking,2.930423977,101.6414061,
amenity,parking,2.936445599,101.6586538,
amenity,parking,2.93843112,101.6618813,
amenity,parking,2.939785772,101.6637552,
amenity,parking,2.941154496,101.6626694,
amenity,parking,2.941293333,101.6626805,
amenity,parking,2.93909337,101.6623747,
amenity,parking,2.927936568,101.6435078,
amenity,parking,2.934693868,101.6460445,
amenity,parking,2.934680296,101.6451621,
amenity,parking,2.934491577,101.64507,
amenity,parking,2.934557362,101.6453239,
amenity,parking,2.924396474,101.6303226,
amenity,school,2.949438616,101.6195515,
amenity,parking,2.909888912,101.6508555,
amenity,parking,2.909752155,101.6508015,
amenity,parking,2.909607473,101.6507747,
amenity,parking,2.909458438,101.650827,
amenity,parking,2.9095827,101.6504736,
amenity,parking,2.90890975,101.650174,
amenity,parking,2.9088348,101.65076,
amenity,parking,2.908706149,101.6507468,
amenity,parking,2.9085509,101.6506312,
amenity,parking,2.908403901,101.6506431,
amenity,parking,2.908265174,101.6506586,
amenity,parking,2.908116525,101.6506586,
amenity,parking,2.907971551,101.6506877,
amenity,place_of_worship,2.932443647,101.6480387,
leisure,pitch,2.940421264,101.6207804,
amenity,place_of_worship,2.943979615,101.6097704,Masjid Taman Putra Perdana
shop,mall,2.92225458,101.634797,
amenity,parking,2.922215199,101.6334332,
amenity,parking,2.936642978,101.6533177,
amenity,parking,2.936458484,101.6532796,
amenity,place_of_worship,2.904590475,101.6149898,
amenity,toilets,2.904358691,101.6151769,
amenity,parking,2.916541701,101.6399722,
power,line,2.904280862,101.6802582,
power,line,2.90425413,101.6800165,
leisure,park,2.903379564,101.6805397,
leisure,park,2.903515901,101.6803192,
leisure,park,2.903627524,101.6801994,
leisure,park,2.903928062,101.6801512,
power,line,2.903443168,101.6801359,
power,line,2.903456095,101.6801476,
power,line,2.903467833,101.6801578,
power,line,2.903598702,101.6801422,
power,line,2.904220848,101.6802859,
power,line,2.903454233,101.6802967,
leisure,park,2.904151393,101.6805132,
power,line,2.904202013,101.6804124,
leisure,park,2.904006047,101.6804638,
power,line,2.903698681,101.6803295,
power,line,2.903694764,101.6803841,
power,line,2.894520345,101.6769691,
power,line,2.894360289,101.6774194,
power,line,2.893817574,101.6769695,
power,line,2.893720567,101.6766234,
power,line,2.8936761,101.6766838,
power,line,2.893636733,101.6767478,
power,line,2.8936032,101.6768149,
power,line,2.8935583,101.6773968,
power,line,2.893577467,101.6774678,
power,line,2.893377958,101.6775033,
power,line,2.893514411,101.6774487,
power,line,2.893632861,101.6765017,
power,line,2.893975398,101.6767933,
power,line,2.89382213,101.6773378,
power,line,2.89361911,101.6769033,
power,line,2.893813131,101.6771084,
power,line,2.893670614,101.6768049,
leisure,park,2.893864799,101.6769885,
power,line,2.901634797,101.6709014,
power,line,2.901874909,101.6709413,
power,line,2.901563088,101.6711118,
power,line,2.901308418,101.6707618,
power,line,2.901309614,101.6710962,
power,line,2.901531667,101.6712623,
power,line,2.901355233,101.6713249,
power,line,2.901058749,101.671084,
power,line,2.901034767,101.6712075,
power,line,2.9015151,101.6711111,
power,line,2.901241564,101.6711665,
power,line,2.9012435,101.6713128,
power,line,2.901132933,101.6712749,
power,line,2.901433065,101.6703482,
power,line,2.901790014,101.6709152,
power,line,2.901806567,101.6705881,
power,line,2.901618467,101.6703645,
power,line,2.901506067,101.6703076,
power,line,2.901288656,101.6701567,
power,line,2.901102642,101.6702036,
power,line,2.901376367,101.670279,
power,line,2.901345567,101.6702777,
power,line,2.901462033,101.6702931,
power,line,2.901210033,101.6702897,
power,line,2.901249133,101.6702807,
power,line,2.901769733,101.6703547,
power,line,2.901579473,101.6702228,
power,line,2.901438556,101.6701786,
power,line,2.901217233,101.6708886,
power,line,2.901373355,101.670636,
power,line,2.901290353,101.6709052,
power,line,2.90120192,101.6707305,
power,line,2.901457464,101.6708076,
power,line,2.901357804,101.6707773,
power,line,2.901060419,101.6707219,
amenity,fuel,2.910513282,101.6091929,Petronas
shop,mall,2.925577511,101.6502726,Centrus Mall
amenity,place_of_worship,2.936246983,101.6193019,Surau Amanputra
amenity,school,2.943947306,101.6215705,
leisure,pitch,2.94301465,101.6200563,
leisure,pitch,2.942929759,101.6206783,
leisure,pitch,2.9428596,101.6207768,
amenity,school,2.94054955,101.62054,
amenity,parking,2.932500914,101.6723504,
amenity,school,2.950045202,101.6775444,
office,government,2.932374022,101.6760295,Suruhanjaya Pencegah Rasuah Malaysia
amenity,school,2.939688256,101.610974,
amenity,parking,2.923275321,101.6333576,
leisure,park,2.92052708,101.6364203,
